Matric_No,First_Name,Last_Name,Email,Password,DOB,Phone_No
C00001,Timothy,Nelson,tnelson@school.com,Tnelson121,2005-09-03,+2348092081539
C00002,Courtney,Farley,cfarley@school.com,Cfarley122,2006-05-11,+234056145501
C00003,Sheena,Solis,ssolis@school.com,Ssolis123,2003-10-27,+2348011466522
C00004,Amy,Martinez,amartinez@school.com,Amartinez124,2004-07-29,+2348012876134
C00005,Emily,Olson,eolson@school.com,Eolson125,2004-03-01,+2348056770692
C00006,Benjamin,Johnson,bjohnson@school.com,Bjohnson126,2005-04-21,+234002377116
C00007,Craig,Elliott,celliott@school.com,Celliott127,2003-04-27,+2348102263306
C00008,Rebecca,Keller,rkeller@school.com,Rkeller128,2006-12-15,+234063299332
C00009,Brianna,Holt,bholt@school.com,Bholt129,2005-12-23,+234003202932
C00010,Jeremy,Le,jle@school.com,Jle130,2006-12-31,+2347032107777
C00011,Shannon,Rose,srose@school.com,Srose131,2003-04-16,+2347011248497
C00012,Matthew,Guerrero,mguerrero@school.com,Mguerrero132,2006-09-12,+234142570667
C00013,Michael,Clark,mclark@school.com,Mclark133,2006-11-07,+2348096686100
C00014,Bobby,Jones,bjones@school.com,Bjones134,2004-08-02,+2348017977143
C00015,Wayne,Daugherty,wdaugherty@school.com,Wdaugherty135,2003-07-01,+2347012353832
C00016,Sharon,Gutierrez,sgutierrez@school.com,Sgutierrez136,2004-05-10,+234090712774
C00017,Jennifer,Vasquez,jvasquez@school.com,Jvasquez137,2003-06-02,+2348114311250
C00018,Howard,Lopez,hlopez@school.com,Hlopez138,2005-04-01,+2347038800649
C00019,David,Olsen,dolsen@school.com,Dolsen139,2006-12-29,+234096111363
