,Name,Date of Birth,Email,Pin,Balance
0,Nate Okon,10/06/1992,Nate1@gmail.com,1092,51500000
1,John Cook,08/12/1994,Thecool@yahoo.com,8994,40000
2,Patience Bevos,06/08/1978,Pbev@icloud.com,6878,5000
3,Garner Jones,13/03/2005,Garnerj@outlook.com,3013,67985
4,Dennis Baker,02/07/1996,Den10@gmail.com,5267,55787768
5,Nana Coker,31/04/1975,Nana@icloud.com,8052,64830362
6,Madeline Zenosa,27/02/1993,Madz@yahoo.com,5461,62221
7,Berbe Tov,23/11/2002,Berbetov@outlook.com,7878,8663421
8,Ruky Adeshola,15/12/1999,Ruky@gmail.com,9878,784534
9,Sam Coker,07/07/1997,Samcat@gmail.com,7899,787899
